i,bfs_time,bfs_space,bfs_generated_nodes,dfs_time,dfs_space,dfs_generated_nodes
1,2148093,10,26,4070062,26,54
2,1805903,10,26,3552743,26,54
3,1450086,10,26,4236853,26,54
4,1212616,10,26,2969763,26,54
5,1196076,10,26,3379202,26,54
6,1595049,10,26,3241075,26,54
7,1639719,10,26,2696130,26,54
8,1180233,10,26,2545334,26,54
9,1162571,10,26,3265516,26,54
10,1451821,10,26,2458986,26,54
11,1275623,10,26,2636183,26,54
12,1551563,10,26,3966685,26,54
13,1242420,10,26,2520902,26,54
14,1217982,10,26,3292517,26,54
15,1246252,10,26,2348889,26,54
16,1380532,10,26,2957906,26,54
17,1764990,10,26,2694556,26,54
18,1380363,10,26,2991911,26,54
19,1953683,10,26,5600486,26,54
20,1276653,10,26,2181160,26,54
